rule,priority_score,recommended_phase,in_upstream,registered_locally,local_go_rule_dir_exists,has_go_test,missing_js_files,js_errs_local,js_errs_upstream,js_lines_local,js_lines_upstream,js_outputs_local,js_outputs_upstream,js_suggestions_local,js_suggestions_upstream,js_skip_delta,go_skip_count,todo_fixme_count,flags,upstream_rule_file,local_go_impl_files,local_go_test_files,local_js_test_files
no-useless-default-assignment,40,A_critical,True,True,True,True,,3,23,47,795,0,23,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap|fix_gap_suspected,packages/eslint-plugin/src/rules/no-useless-default-assignment.ts,internal/plugins/typescript/rules/no_useless_default_assignment/no_useless_default_assignment.go,internal/plugins/typescript/rules/no_useless_default_assignment/no_useless_default_assignment_test.go,no-useless-default-assignment.test.ts
no-duplicate-enum-values,34,A_critical,True,True,True,True,,5,15,170,415,0,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/no-duplicate-enum-values.ts,internal/plugins/typescript/rules/no_duplicate_enum_values/no_duplicate_enum_values.go,internal/plugins/typescript/rules/no_duplicate_enum_values/no_duplicate_enum_values_test.go,no-duplicate-enum-values.test.ts
no-unused-private-class-members,34,A_critical,True,True,True,True,,1,46,31,1313,1,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/no-unused-private-class-members.ts,internal/plugins/typescript/rules/no_unused_private_class_members/no_unused_private_class_members.go,internal/plugins/typescript/rules/no_unused_private_class_members/no_unused_private_class_members_test.go,no-unused-private-class-members.test.ts
strict-void-return,34,A_critical,True,True,True,True,,4,109,66,2735,0,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/strict-void-return.ts,internal/plugins/typescript/rules/strict_void_return/strict_void_return.go,internal/plugins/typescript/rules/strict_void_return/strict_void_return_test.go,strict-void-return.test.ts
no-unused-vars,32,A_critical,True,True,True,True,no-unused-vars/no-unused-vars-enableAutofixRemoval.test.ts,236,259,6333,7311,0,41,0,20,0,0,0,missing_js_file|fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unused-vars.ts,internal/plugins/typescript/rules/no_unused_vars/no_unused_vars.go,internal/plugins/typescript/rules/no_unused_vars/no_unused_vars_test.go,no-unused-vars/no-unused-vars-eslint.test.ts|no-unused-vars/no-unused-vars.test.ts
prefer-optional-chain,30,B_high,True,True,True,True,,128,247,2114,3715,145,262,123,237,0,0,0,moderate_js_size_gap|moderate_invalid_gap|fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/prefer-optional-chain.ts,internal/plugins/typescript/rules/prefer_optional_chain/prefer_optional_chain.go,internal/plugins/typescript/rules/prefer_optional_chain/prefer_optional_chain_test.go,prefer-optional-chain/prefer-optional-chain.test.ts
await-thenable,26,B_high,True,True,True,True,,18,43,764,1392,16,16,16,16,0,0,0,moderate_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/await-thenable.ts,internal/plugins/typescript/rules/await_thenable/await_thenable.go,internal/plugins/typescript/rules/await_thenable/await_thenable_test.go,await-thenable.test.ts
no-loss-of-precision,20,B_high,True,True,True,False,,4,4,30,31,0,0,0,0,0,0,0,missing_go_test,packages/eslint-plugin/src/rules/no-loss-of-precision.ts,internal/plugins/typescript/rules/no_loss_of_precision/no_loss_of_precision.go,,no-loss-of-precision.test.ts
no-confusing-void-expression,19,B_high,True,True,True,True,,57,57,1194,1185,61,61,4,4,1,1,2,extra_js_skips|go_skips|todo_markers,packages/eslint-plugin/src/rules/no-confusing-void-expression.ts,internal/plugins/typescript/rules/no_confusing_void_expression/no_confusing_void_expression.go,internal/plugins/typescript/rules/no_confusing_void_expression/no_confusing_void_expression_test.go,no-confusing-void-expression.test.ts
no-duplicate-type-constituents,19,B_high,True,True,True,True,,48,48,896,886,48,48,0,0,2,2,1,extra_js_skips|go_skips|todo_markers,packages/eslint-plugin/src/rules/no-duplicate-type-constituents.ts,internal/plugins/typescript/rules/no_duplicate_type_constituents/no_duplicate_type_constituents.go,internal/plugins/typescript/rules/no_duplicate_type_constituents/no_duplicate_type_constituents_test.go,no-duplicate-type-constituents.test.ts
no-unsafe-member-access,18,B_high,True,True,True,True,,15,20,380,500,0,0,0,0,0,0,0,moderate_js_size_gap|moderate_invalid_gap,packages/eslint-plugin/src/rules/no-unsafe-member-access.ts,internal/plugins/typescript/rules/no_unsafe_member_access/no_unsafe_member_access.go,internal/plugins/typescript/rules/no_unsafe_member_access/no_unsafe_member_access_test.go,no-unsafe-member-access.test.ts
no-base-to-string,13,C_medium,True,True,True,True,,88,93,2214,2391,0,0,0,0,0,1,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-base-to-string.ts,internal/plugins/typescript/rules/no_base_to_string/no_base_to_string.go,internal/plugins/typescript/rules/no_base_to_string/no_base_to_string_test.go,no-base-to-string.test.ts
no-misused-promises,13,C_medium,True,True,True,True,,90,91,2523,2539,0,0,0,0,0,1,12,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-misused-promises.ts,internal/plugins/typescript/rules/no_misused_promises/no_misused_promises.go,internal/plugins/typescript/rules/no_misused_promises/no_misused_promises_test.go,no-misused-promises.test.ts
no-misused-spread,13,C_medium,True,True,True,True,,91,91,1870,1865,21,21,21,21,0,1,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-misused-spread.ts,internal/plugins/typescript/rules/no_misused_spread/no_misused_spread.go,internal/plugins/typescript/rules/no_misused_spread/no_misused_spread_test.go,no-misused-spread.test.ts
no-unnecessary-type-arguments,13,C_medium,True,True,True,True,,23,23,643,634,23,23,0,0,0,1,1,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-unnecessary-type-arguments.ts,internal/plugins/typescript/rules/no_unnecessary_type_arguments/no_unnecessary_type_arguments.go,internal/plugins/typescript/rules/no_unnecessary_type_arguments/no_unnecessary_type_arguments_test.go,no-unnecessary-type-arguments.test.ts
no-unsafe-assignment,13,C_medium,True,True,True,True,,56,56,739,734,0,0,0,0,0,1,3,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-unsafe-assignment.ts,internal/plugins/typescript/rules/no_unsafe_assignment/no_unsafe_assignment.go,internal/plugins/typescript/rules/no_unsafe_assignment/no_unsafe_assignment_test.go,no-unsafe-assignment.test.ts
only-throw-error,13,C_medium,True,True,True,True,,44,47,743,825,0,0,0,0,0,1,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/only-throw-error.ts,internal/plugins/typescript/rules/only_throw_error/only_throw_error.go,internal/plugins/typescript/rules/only_throw_error/only_throw_error_test.go,only-throw-error.test.ts
prefer-promise-reject-errors,13,C_medium,True,True,True,True,,82,82,1541,1451,0,0,0,0,0,1,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/prefer-promise-reject-errors.ts,internal/plugins/typescript/rules/prefer_promise_reject_errors/prefer_promise_reject_errors.go,internal/plugins/typescript/rules/prefer_promise_reject_errors/prefer_promise_reject_errors_test.go,prefer-promise-reject-errors.test.ts
unbound-method,13,C_medium,True,True,True,True,,51,51,1191,1183,0,0,0,0,0,2,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/unbound-method.ts,internal/plugins/typescript/rules/unbound_method/natively_bound_members.go|internal/plugins/typescript/rules/unbound_method/unbound_method.go,internal/plugins/typescript/rules/unbound_method/unbound_method_test.go,unbound-method.test.ts
use-unknown-in-catch-callback-variable,13,C_medium,True,True,True,True,,26,26,818,811,26,26,27,27,0,1,1,go_skips|todo_markers,packages/eslint-plugin/src/rules/use-unknown-in-catch-callback-variable.ts,internal/plugins/typescript/rules/use_unknown_in_catch_callback_variable/use_unknown_in_catch_callback_variable.go,internal/plugins/typescript/rules/use_unknown_in_catch_callback_variable/use_unknown_in_catch_callback_variable_test.go,use-unknown-in-catch-callback-variable.test.ts
consistent-indexed-object-style,12,C_medium,True,True,True,True,,54,55,890,901,53,54,2,2,0,0,0,fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/consistent-indexed-object-style.ts,internal/plugins/typescript/rules/consistent_indexed_object_style/consistent_indexed_object_style.go,internal/plugins/typescript/rules/consistent_indexed_object_style/consistent_indexed_object_style_test.go,consistent-indexed-object-style.test.ts
consistent-type-assertions,12,C_medium,True,True,True,True,,101,101,2291,2292,72,72,39,39,0,0,0,fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/consistent-type-assertions.ts,internal/plugins/typescript/rules/consistent_type_assertions/consistent_type_assertions.go,internal/plugins/typescript/rules/consistent_type_assertions/consistent_type_assertions_test.go,consistent-type-assertions.test.ts
explicit-member-accessibility,12,C_medium,True,True,True,True,,35,35,2520,2513,117,117,28,28,0,0,0,fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/explicit-member-accessibility.ts,internal/plugins/typescript/rules/explicit_member_accessibility/explicit_member_accessibility.go,internal/plugins/typescript/rules/explicit_member_accessibility/explicit_member_accessibility_test.go,explicit-member-accessibility.test.ts
no-unnecessary-template-expression,11,C_medium,True,True,True,True,,117,117,1391,1384,117,117,0,0,0,0,1,todo_markers|fix_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-template-expression.ts,internal/plugins/typescript/rules/no_unnecessary_template_expression/no_unnecessary_template_expression.go,internal/plugins/typescript/rules/no_unnecessary_template_expression/no_unnecessary_template_expression_test.go,no-unnecessary-template-expression.test.ts
no-unnecessary-type-assertion,11,C_medium,True,True,True,True,,64,67,1428,1538,64,67,0,0,0,0,1,todo_markers|fix_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-type-assertion.ts,internal/plugins/typescript/rules/no_unnecessary_type_assertion/no_unnecessary_type_assertion.go,internal/plugins/typescript/rules/no_unnecessary_type_assertion/no_unnecessary_type_assertion_test.go,no-unnecessary-type-assertion.test.ts
no-unsafe-enum-comparison,11,C_medium,True,True,True,True,,44,44,1211,1189,19,16,19,16,0,0,20,todo_markers|suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unsafe-enum-comparison.ts,internal/plugins/typescript/rules/no_unsafe_enum_comparison/no_unsafe_enum_comparison.go,internal/plugins/typescript/rules/no_unsafe_enum_comparison/no_unsafe_enum_comparison_test.go,no-unsafe-enum-comparison.test.ts
promise-function-async,11,C_medium,True,True,True,True,,26,28,906,969,24,26,0,0,0,0,2,todo_markers|fix_gap_suspected,packages/eslint-plugin/src/rules/promise-function-async.ts,internal/plugins/typescript/rules/promise_function_async/promise_function_async.go,internal/plugins/typescript/rules/promise_function_async/promise_function_async_test.go,promise-function-async.test.ts
require-await,11,C_medium,True,True,True,True,,33,33,1226,1219,33,33,33,33,0,0,2,todo_markers|suggestion_gap_suspected,packages/eslint-plugin/src/rules/require-await.ts,internal/plugins/typescript/rules/require_await/require_await.go,internal/plugins/typescript/rules/require_await/require_await_test.go,require-await.test.ts
switch-exhaustiveness-check,11,C_medium,True,True,True,True,,52,51,2942,2902,48,47,48,47,0,0,1,todo_markers|suggestion_gap_suspected,packages/eslint-plugin/src/rules/switch-exhaustiveness-check.ts,internal/plugins/typescript/rules/switch_exhaustiveness_check/switch_exhaustiveness_check.go,internal/plugins/typescript/rules/switch_exhaustiveness_check/switch_exhaustiveness_check_test.go,switch-exhaustiveness-check.test.ts
no-empty-function,8,D_low,True,True,True,True,,7,7,199,269,0,7,0,7,0,0,0,moderate_js_size_gap,packages/eslint-plugin/src/rules/no-empty-function.ts,internal/plugins/typescript/rules/no_empty_function/no_empty_function.go,internal/plugins/typescript/rules/no_empty_function/no_empty_function_test.go,no-empty-function.test.ts
array-type,6,D_low,True,True,True,True,,105,103,2223,2192,106,104,0,0,2,0,0,extra_js_skips,packages/eslint-plugin/src/rules/array-type.ts,internal/plugins/typescript/rules/array_type/array_type.go,internal/plugins/typescript/rules/array_type/array_type_test.go,array-type.test.ts
consistent-generic-constructors,6,D_low,True,True,True,True,,34,35,592,642,34,35,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/consistent-generic-constructors.ts,internal/plugins/typescript/rules/consistent_generic_constructors/consistent_generic_constructors.go,internal/plugins/typescript/rules/consistent_generic_constructors/consistent_generic_constructors_test.go,consistent-generic-constructors.test.ts
consistent-type-definitions,6,D_low,True,True,True,True,,23,23,459,460,23,23,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/consistent-type-definitions.ts,internal/plugins/typescript/rules/consistent_type_definitions/consistent_type_definitions.go,internal/plugins/typescript/rules/consistent_type_definitions/consistent_type_definitions_test.go,consistent-type-definitions.test.ts
consistent-type-exports,6,D_low,True,True,True,True,,23,25,474,533,23,25,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/consistent-type-exports.ts,internal/plugins/typescript/rules/consistent_type_exports/consistent_type_exports.go,internal/plugins/typescript/rules/consistent_type_exports/consistent_type_exports_test.go,consistent-type-exports.test.ts
consistent-type-imports,6,D_low,True,True,True,True,,74,74,2049,2050,74,74,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/consistent-type-imports.ts,internal/plugins/typescript/rules/consistent_type_imports/consistent_type_imports.go,internal/plugins/typescript/rules/consistent_type_imports/consistent_type_imports_test.go,consistent-type-imports.test.ts
method-signature-style,6,D_low,True,True,True,True,,29,34,670,746,29,34,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/method-signature-style.ts,internal/plugins/typescript/rules/method_signature_style/method_signature_style.go,internal/plugins/typescript/rules/method_signature_style/method_signature_style_test.go,method-signature-style.test.ts
no-empty-interface,6,D_low,True,True,True,True,,12,11,258,248,13,12,1,1,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-empty-interface.ts,internal/plugins/typescript/rules/no_empty_interface/no_empty_interface.go,internal/plugins/typescript/rules/no_empty_interface/no_empty_interface_test.go,no-empty-interface.test.ts
no-empty-object-type,6,D_low,True,True,True,True,,21,21,592,593,33,33,21,21,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-empty-object-type.ts,internal/plugins/typescript/rules/no_empty_object_type/no_empty_object_type.go,internal/plugins/typescript/rules/no_empty_object_type/no_empty_object_type_test.go,no-empty-object-type.test.ts
no-import-type-side-effects,6,D_low,True,True,True,True,,4,4,40,40,4,4,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/no-import-type-side-effects.ts,internal/plugins/typescript/rules/no_import_type_side_effects/no_import_type_side_effects.go,internal/plugins/typescript/rules/no_import_type_side_effects/no_import_type_side_effects_test.go,no-import-type-side-effects.test.ts
no-non-null-assertion,6,D_low,True,True,True,True,,20,22,387,422,16,17,25,26,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-non-null-assertion.ts,internal/plugins/typescript/rules/no_non_null_assertion/no_non_null_assertion.go,internal/plugins/typescript/rules/no_non_null_assertion/no_non_null_assertion_test.go,no-non-null-assertion.test.ts
no-restricted-types,6,D_low,True,True,True,True,,32,32,622,623,32,32,0,0,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-restricted-types.ts,internal/plugins/typescript/rules/no_restricted_types/no_restricted_types.go,internal/plugins/typescript/rules/no_restricted_types/no_restricted_types_test.go,no-restricted-types.test.ts
no-unnecessary-condition,6,D_low,True,True,True,True,,120,120,3762,3757,51,51,51,51,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-condition.ts,internal/plugins/typescript/rules/no_unnecessary_condition/no_unnecessary_condition.go,internal/plugins/typescript/rules/no_unnecessary_condition/no_unnecessary_condition_test.go,no-unnecessary-condition.test.ts
no-unnecessary-qualifier,6,D_low,True,True,True,True,,9,9,278,260,9,9,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-qualifier.ts,internal/plugins/typescript/rules/no_unnecessary_qualifier/no_unnecessary_qualifier.go,internal/plugins/typescript/rules/no_unnecessary_qualifier/no_unnecessary_qualifier_test.go,no-unnecessary-qualifier.test.ts
no-unnecessary-type-constraint,6,D_low,True,True,True,True,,22,22,522,523,23,23,23,23,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-type-constraint.ts,internal/plugins/typescript/rules/no_unnecessary_type_constraint/no_unnecessary_type_constraint.go,internal/plugins/typescript/rules/no_unnecessary_type_constraint/no_unnecessary_type_constraint_test.go,no-unnecessary-type-constraint.test.ts
no-unnecessary-type-conversion,6,D_low,True,True,True,True,,26,28,712,766,52,56,26,28,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-type-conversion.ts,internal/plugins/typescript/rules/no_unnecessary_type_conversion/no_unnecessary_type_conversion.go,internal/plugins/typescript/rules/no_unnecessary_type_conversion/no_unnecessary_type_conversion_test.go,no-unnecessary-type-conversion.test.ts
no-unnecessary-type-parameters,6,D_low,True,True,True,True,,67,67,1887,1880,76,76,76,76,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unnecessary-type-parameters.ts,internal/plugins/typescript/rules/no_unnecessary_type_parameters/no_unnecessary_type_parameters.go,internal/plugins/typescript/rules/no_unnecessary_type_parameters/no_unnecessary_type_parameters_test.go,no-unnecessary-type-parameters.test.ts
no-wrapper-object-types,6,D_low,True,True,True,True,,14,14,236,237,14,14,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/no-wrapper-object-types.ts,internal/plugins/typescript/rules/no_wrapper_object_types/no_wrapper_object_types.go,internal/plugins/typescript/rules/no_wrapper_object_types/no_wrapper_object_types_test.go,no-wrapper-object-types.test.ts
prefer-enum-initializers,6,D_low,True,True,True,True,,4,4,236,237,15,15,5,5,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/prefer-enum-initializers.ts,internal/plugins/typescript/rules/prefer_enum_initializers/prefer_enum_initializers.go,internal/plugins/typescript/rules/prefer_enum_initializers/prefer_enum_initializers_test.go,prefer-enum-initializers.test.ts
prefer-find,6,D_low,True,True,True,True,,28,28,722,715,28,28,28,28,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/prefer-find.ts,internal/plugins/typescript/rules/prefer_find/prefer_find.go,internal/plugins/typescript/rules/prefer_find/prefer_find_test.go,prefer-find.test.ts
prefer-function-type,6,D_low,True,True,True,True,,18,18,408,387,18,18,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/prefer-function-type.ts,internal/plugins/typescript/rules/prefer_function_type/prefer_function_type.go,internal/plugins/typescript/rules/prefer_function_type/prefer_function_type_test.go,prefer-function-type.test.ts
prefer-nullish-coalescing,6,D_low,True,True,True,True,,137,139,6160,6184,261,263,140,142,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/prefer-nullish-coalescing.ts,internal/plugins/typescript/rules/prefer_nullish_coalescing/prefer_nullish_coalescing.go,internal/plugins/typescript/rules/prefer_nullish_coalescing/prefer_nullish_coalescing_test.go,prefer-nullish-coalescing.test.ts
prefer-regexp-exec,6,D_low,True,True,True,True,,10,10,290,282,10,10,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/prefer-regexp-exec.ts,internal/plugins/typescript/rules/prefer_regexp_exec/prefer_regexp_exec.go,internal/plugins/typescript/rules/prefer_regexp_exec/prefer_regexp_exec_test.go,prefer-regexp-exec.test.ts
prefer-return-this-type,6,D_low,True,True,True,True,,12,13,397,432,12,13,0,0,0,0,0,fix_gap_suspected,packages/eslint-plugin/src/rules/prefer-return-this-type.ts,internal/plugins/typescript/rules/prefer_return_this_type/prefer_return_this_type.go,internal/plugins/typescript/rules/prefer_return_this_type/prefer_return_this_type_test.go,prefer-return-this-type.test.ts
strict-boolean-expressions,6,D_low,True,True,True,True,,117,117,4700,4694,264,264,105,105,0,0,0,suggestion_gap_suspected,packages/eslint-plugin/src/rules/strict-boolean-expressions.ts,internal/plugins/typescript/rules/strict_boolean_expressions/strict_boolean_expressions.go,internal/plugins/typescript/rules/strict_boolean_expressions/strict_boolean_expressions_test.go,strict-boolean-expressions.test.ts
naming-convention,5,D_low,True,True,True,True,,40,48,2583,2689,0,0,0,0,0,0,3,todo_markers,packages/eslint-plugin/src/rules/naming-convention.ts,internal/plugins/typescript/rules/naming_convention/naming_convention.go,internal/plugins/typescript/rules/naming_convention/naming_convention_test.go,naming-convention/cases/accessor.test.ts|naming-convention/cases/autoAccessor.test.ts|naming-convention/cases/class.test.ts|naming-convention/cases/classicAccessor.test.ts|naming-convention/cases/default.test.ts|naming-convention/cases/enum.test.ts|naming-convention/cases/enumMember.test.ts|naming-convention/cases/function.test.ts|naming-convention/cases/interface.test.ts|naming-convention/cases/method.test.ts|naming-convention/cases/parameter.test.ts|naming-convention/cases/parameterProperty.test.ts|naming-convention/cases/property.test.ts|naming-convention/cases/typeAlias.test.ts|naming-convention/cases/typeParameter.test.ts|naming-convention/cases/variable.test.ts|naming-convention/naming-convention.test.ts
no-floating-promises,5,D_low,True,True,True,True,,101,101,5412,5428,240,240,131,131,-1,0,1,todo_markers,packages/eslint-plugin/src/rules/no-floating-promises.ts,internal/plugins/typescript/rules/no_floating_promises/no_floating_promises.go,internal/plugins/typescript/rules/no_floating_promises/no_floating_promises_test.go,no-floating-promises.test.ts
no-unsafe-argument,5,D_low,True,True,True,True,,21,21,534,527,0,0,0,0,0,0,1,todo_markers,packages/eslint-plugin/src/rules/no-unsafe-argument.ts,internal/plugins/typescript/rules/no_unsafe_argument/no_unsafe_argument.go,internal/plugins/typescript/rules/no_unsafe_argument/no_unsafe_argument_test.go,no-unsafe-argument.test.ts
restrict-template-expressions,5,D_low,True,True,True,True,,19,22,622,766,0,0,0,0,0,0,1,todo_markers,packages/eslint-plugin/src/rules/restrict-template-expressions.ts,internal/plugins/typescript/rules/restrict_template_expressions/restrict_template_expressions.go,internal/plugins/typescript/rules/restrict_template_expressions/restrict_template_expressions_test.go,restrict-template-expressions.test.ts
sort-type-constituents,5,D_low,True,True,True,True,,19,19,448,449,20,20,2,2,0,0,2,todo_markers,packages/eslint-plugin/src/rules/sort-type-constituents.ts,internal/plugins/typescript/rules/sort_type_constituents/sort_type_constituents.go,internal/plugins/typescript/rules/sort_type_constituents/sort_type_constituents_test.go,sort-type-constituents.test.ts
ban-types,4,D_low,False,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,local_only_rule,,internal/plugins/typescript/rules/ban_types/ban_types.go,internal/plugins/typescript/rules/ban_types/ban_types_test.go,
adjacent-overload-signatures,0,aligned,True,True,True,True,,34,34,922,923,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/adjacent-overload-signatures.ts,internal/plugins/typescript/rules/adjacent_overload_signatures/adjacent_overload_signatures.go,internal/plugins/typescript/rules/adjacent_overload_signatures/adjacent_overload_signatures_test.go,adjacent-overload-signatures.test.ts
ban-ts-comment,0,aligned,True,True,True,True,,57,57,1324,1325,13,13,13,13,0,0,0,,packages/eslint-plugin/src/rules/ban-ts-comment.ts,internal/plugins/typescript/rules/ban_ts_comment/ban_ts_comment.go,internal/plugins/typescript/rules/ban_ts_comment/ban_ts_comment_test.go,ban-ts-comment.test.ts
